OBJECTID,COD_DEP,DPTO,COD_MUN,MPIO,HaNatura,HaAgro,HanoAgro,HaOtro,PrPropia,PrArrien,PrAparce,PrUsufru,PrComoda,PrOcupac,PrColect,PrAdjudi,PrOtros,PrMixta,UPA,UPNA,Shape_Length_1,Shape_Area_1,ShapeSTArea,ShapeSTLength,cluster
426,50.0,Meta,50450.0,Puerto Concordia,33612.2,87834.7,1339.7,2185.9,947.0,100.0,1.0,4.0,1.0,1.0,10.0,1.0,43.0,0.0,123632.8,1339.7,2.67772844,0.10262953,1273039005.92985,293213.895443727,1
427,50.0,Meta,50568.0,Puerto Gaitán,491512.4,1136935.2,77829.4,35128.0,1262.0,18.0,0.0,2.0,2.0,2.0,1046.0,0.0,5.0,72.0,1663575.6,77829.4,7.84985813,1.40346317,17434636007.4161,861155.049067686,0
428,50.0,Meta,50573.0,Puerto López,98790.9,546362.0,5423.6,20008.1,1709.0,135.0,10.0,6.0,1.0,5.0,82.0,3.0,58.0,134.0,665161.0,5423.6,6.375559,0.50643854,6291497720.82954,701727.528730285,1
429,50.0,Meta,50577.0,Puerto Lleras,28424.1,205901.7,7011.7,9291.7,1099.0,181.0,5.0,12.0,1.0,3.0,6.0,1.0,15.0,65.0,243617.5,7011.7,3.78820595,0.20869492,2590187031.99182,410727.30624943,1
430,50.0,Meta,50590.0,Puerto Rico,227768.9,112473.5,2798.3,2380.7,209.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,342623.2,2798.3,3.53571665,0.27796876,3448621700.03577,387562.46278105,1
431,50.0,Meta,50606.0,Restrepo,10105.8,19931.4,253.7,587.2,1422.0,100.0,1.0,13.0,1.0,0.0,5.0,0.0,10.0,69.0,30624.4,253.7,1.97741105,0.02991204,371702042.575898,216461.825456622,1
432,50.0,Meta,50680.0,San Carlos de Guaroa,12267.9,65751.8,1059.3,825.4,209.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,78845.1,1059.3,1.65562354,0.06599479,819660115.013111,184061.265964394,1
433,50.0,Meta,50683.0,San Juan de Arama,76319.8,40079.3,125.3,521.9,941.0,29.0,1.0,4.0,0.0,0.0,2.0,0.0,21.0,135.0,116921.0,125.3,2.54363775,0.09526319,1182439387.41414,277611.023438352,1
434,50.0,Meta,50686.0,San Juanito,18775.5,5235.6,201.9,46.6,567.0,38.0,0.0,0.0,0.0,0.0,51.0,0.0,2.0,38.0,24057.7,201.9,0.75408402,0.0175525,218170058.272568,83352.2726092788,1
435,50.0,Meta,50689.0,San Martín,76412.4,517220.6,7402.3,3349.5,1020.0,114.0,4.0,0.0,1.0,3.0,3.0,1.0,15.0,125.0,596982.5,7402.3,7.38701206,0.53657716,6662117799.55875,802982.206110637,1
436,50.0,Meta,50711.0,Vistahermosa,340600.3,130803.3,7193.2,5211.9,760.0,72.0,5.0,1.0,1.0,1.0,3.0,0.0,9.0,48.0,476615.6,7193.2,5.86342954,0.41271253,5120625727.98863,643698.487646667,1
437,47.0,Magdalena,47001.0,Santa Marta,145916.5,52398.8,16583.6,15671.5,1762.0,157.0,25.0,3.0,2.0,1.0,200.0,2.0,45.0,38.0,213986.9,16583.6,3.15745138,0.19428684,2453666654.31779,343411.439952803,1
438,47.0,Magdalena,47030.0,Algarrobo,689.4,32996.5,441.0,6182.2,386.0,27.0,0.0,2.0,0.0,0.0,24.0,0.0,3.0,30.0,39868.1,441.0,1.27851781,0.03355142,422516189.054868,140951.173220082,1
439,47.0,Magdalena,47053.0,Aracataca,114775.7,52110.7,107.0,15331.9,1093.0,50.0,145.0,6.0,0.0,4.0,352.0,1.0,4.0,43.0,182218.3,107.0,2.71079034,0.14417638,1819835251.8549,297289.19285207,1
440,47.0,Magdalena,47058.0,Ariguaní,8778.0,101220.2,1045.4,533.8,713.0,43.0,9.0,2.0,0.0,0.0,5.0,1.0,0.0,56.0,110532.0,1045.4,1.86303872,0.09358699,1177067557.24236,204044.409036482,1
441,47.0,Magdalena,47161.0,Cerro San Antonio,485.8,11825.1,321.7,289.0,586.0,14.0,2.0,69.0,0.0,0.0,2.0,0.0,1.0,51.0,12600.0,321.7,0.90591548,0.01557549,196178954.555177,100758.872188201,1
442,47.0,Magdalena,47170.0,Chibolo,2999.6,32796.2,246.6,17218.4,999.0,20.0,3.0,2.0,0.0,2.0,7.0,0.0,60.0,62.0,53014.2,246.6,1.21212434,0.04442532,559181130.542825,132672.29966053,1
443,47.0,Magdalena,47189.0,Ciénaga,66285.1,57096.3,2316.8,3276.3,1821.0,139.0,5.0,9.0,3.0,3.0,20.0,2.0,101.0,14.0,126657.7,2316.8,2.66362814,0.10959766,1383044468.38968,292656.012293345,1
444,47.0,Magdalena,47205.0,Concordia,347.4,9106.5,166.8,342.7,450.0,45.0,11.0,1.0,0.0,0.0,42.0,0.0,16.0,6.0,9796.6,166.8,0.5397505,0.00907434,114246739.812199,60089.0338787126,1
445,47.0,Magdalena,47245.0,El Banco,943.5,39603.3,8254.9,14989.2,569.0,80.0,4.0,0.0,0.0,1.0,16.0,47.0,38.0,37.0,55535.9,8254.9,1.63574772,0.06778469,850772960.654035,181477.11900591,1
446,47.0,Magdalena,47258.0,El Piñon,2152.2,48447.8,88.0,4383.2,1583.0,82.0,27.0,1.0,2.0,1.0,6.0,0.0,8.0,20.0,54983.3,88.0,1.2239973,0.04728874,595689152.282601,135157.215264116,1
447,47.0,Magdalena,47268.0,El Retén,9295.6,12605.6,518.1,2983.2,301.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,24884.4,518.1,0.93830721,0.02248086,283474786.381126,101867.854740926,1
448,47.0,Magdalena,47288.0,Fundación,70020.5,23565.8,909.9,1126.5,926.0,29.0,6.0,2.0,0.0,0.0,805.0,1.0,13.0,22.0,94712.9,909.9,2.75126463,0.08031075,999399436.756786,289479.697560606,1
449,47.0,Magdalena,47318.0,Guamal,2751.6,40531.7,2864.3,1530.5,1855.0,273.0,33.0,2.0,0.0,21.0,31.0,12.0,20.0,82.0,44813.8,2864.3,1.14249141,0.04493277,564123938.903348,125511.826368273,1
450,47.0,Magdalena,47460.0,Nueva Granada,5383.1,55353.6,7027.0,16320.7,921.0,80.0,3.0,28.0,1.0,0.0,1.0,0.0,0.0,39.0,77057.3,7027.0,1.50677501,0.06920577,870136190.984561,164048.021919477,1
451,47.0,Magdalena,47541.0,Pedraza,1333.0,23667.2,145.7,300.5,870.0,18.0,1.0,0.0,26.0,0.0,289.0,0.0,9.0,51.0,25300.6,145.7,0.97715757,0.02543362,320200508.371542,108320.50649639,1
452,47.0,Magdalena,47545.0,Pijiño del Carmen,10250.4,58374.8,802.9,3980.4,595.0,22.0,3.0,0.0,1.0,0.0,6.0,0.0,3.0,73.0,72605.6,802.9,2.44903906,0.06263428,787077371.33834,270611.157571213,1
453,47.0,Magdalena,47551.0,Pivijay,11367.9,146115.6,869.5,4459.2,1812.0,66.0,0.0,4.0,0.0,0.0,34.0,3.0,2.0,77.0,161942.8,869.5,2.17930905,0.13403012,1699575798.9373,245011.022480341,1
454,47.0,Magdalena,47555.0,Plato,5471.7,114885.7,2432.7,2816.0,888.0,32.0,46.0,97.0,1.0,5.0,6.0,3.0,3.0,50.0,123173.4,2432.7,2.70523043,0.12412067,1560765642.66469,294666.565296754,1
455,47.0,Magdalena,47570.0,Puebloviejo,8215.2,10705.9,3912.6,3836.4,591.0,57.0,2.0,0.0,0.0,22.0,3.0,0.0,23.0,5.0,22757.5,3912.6,1.36546674,0.0549797,693708878.433344,149559.462673612,1
456,47.0,Magdalena,47605.0,Remolino,16661.9,14227.9,2645.2,18993.5,511.0,33.0,0.0,9.0,1.0,2.0,2.0,0.0,4.0,53.0,49883.2,2645.2,1.12860974,0.04873345,614482308.542345,122618.931066259,1
457,47.0,Magdalena,47660.0,Sabanas de San Angel,10603.0,112930.3,771.5,1044.0,1929.0,63.0,34.0,16.0,1.0,0.0,12.0,0.0,12.0,43.0,124577.3,771.5,2.2993817,0.09850655,1239906678.00905,254443.951712793,1
458,47.0,Magdalena,47675.0,Salamina,552.9,17049.3,4.0,1343.3,395.0,21.0,1.0,5.0,14.0,156.0,3.0,0.0,9.0,34.0,18945.6,4.0,0.55406841,0.01402635,176784432.833314,61502.0978093578,1
459,47.0,Magdalena,47692.0,San Sebastián de Buenavista,2915.4,36670.1,1085.8,1994.0,1663.0,267.0,0.0,12.0,4.0,0.0,15.0,0.0,184.0,33.0,41579.5,1085.8,1.3232933,0.03583051,450003177.782956,144744.866575982,1
460,47.0,Magdalena,47703.0,San Zenón,342.5,12745.8,55.8,13201.2,540.0,50.0,0.0,48.0,19.0,18.0,40.0,0.0,5.0,55.0,26289.5,55.8,1.06696158,0.01977381,248309030.183331,117775.31434459,1
461,47.0,Magdalena,47707.0,Santa Ana,9953.4,94772.9,681.7,4677.1,1368.0,48.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,83.0,109403.4,681.7,3.08485189,0.09196078,1155442112.98469,338846.561119381,1
462,47.0,Magdalena,47720.0,Santa Bárbara de Pinto,2536.7,40606.1,241.1,5056.2,392.0,41.0,0.0,35.0,23.0,4.0,0.0,0.0,0.0,25.0,48199.0,241.1,1.23231969,0.04119965,517684342.985485,133941.094006752,1
463,47.0,Magdalena,47745.0,Sitionuevo,15189.6,24008.7,373.4,33816.3,722.0,233.0,23.0,25.0,3.0,16.0,7.0,3.0,45.0,13.0,73014.6,373.4,1.57007253,0.08067964,1018385282.32564,172906.712811815,1
