OBJECTID,COD_DEP,DPTO,COD_MUN,MPIO,HaNatura,HaAgro,HanoAgro,HaOtro,PrPropia,PrArrien,PrAparce,PrUsufru,PrComoda,PrOcupac,PrColect,PrAdjudi,PrOtros,PrMixta,UPA,UPNA,Shape_Length_1,Shape_Area_1,ShapeSTArea,ShapeSTLength
884,15,Boyacá,15879,Viracachá,314.5,5018.4,396.2,211.3,2392,497,38,32,4,2,1,4,57,260,5544.2,396.2,0.34132586,0.00520097,64745031.2753129,37216.1954833133
885,15,Boyacá,15897,Zetaquira,6196.5,17871.6,512.4,629.2,2191,185,13,50,1,0,3,4,224,114,24697.3,512.4,1.04352521,0.02339521,291142430.408123,115648.683529294
886,13,Bolívar,13001,Cartagena,11959.1,20153.3,16059,1709.5,527,28,12,5,2,6,3,1,47,43,33821.9,16059,4.21315606,0.05209287,656427426.296513,463198.35393203
887,13,Bolívar,13006,Achí,21263,49919.3,138.4,2155.7,784,104,7,0,0,3,49,0,2,18,73338,138.4,1.71954839,0.07987387,1001131967.79652,191265.300609803
888,13,Bolívar,13030,Altos del Rosario,14947.8,14675.5,604.7,720,722,100,39,6,0,0,5,0,14,3,30343.3,604.7,0.94808559,0.02559592,320931522.438561,105434.391818245
889,13,Bolívar,13042,Arenal,9658.9,37856.8,22.5,1.6,478,11,5,1,0,0,3,0,48,6,47517.4,22.5,1.49797062,0.03789293,474594148.093677,166771.675054816
890,13,Bolívar,13052,Arjona,21216.5,14044.4,1637.4,21361.3,1246,98,5,4,0,5,15,3,5,43,56622.2,1637.4,1.32743407,0.04861165,611975298.484404,147659.596602792
891,13,Bolívar,13062,Arroyohondo,9269.1,5263.4,812.5,725.9,1014,120,3,0,0,0,0,0,0,22,15258.5,812.5,0.65568759,0.01356904,170878642.450482,73286.6183698415
892,13,Bolívar,13074,Barranco de Loba,24741.2,20077.2,76.5,958.2,893,43,0,1,1,2,8,0,5,10,45776.6,76.5,1.57490032,0.03515366,440868403.649555,175324.221468033
893,13,Bolívar,13140,Calamar,8219.5,14219.7,411.7,1509.7,690,79,95,88,1,5,22,2,7,15,23948.8,411.7,1.19379158,0.02253189,283705511.51567,133286.005790559
894,13,Bolívar,13160,Cantagallo,52745.8,32218,163.7,3180,326,17,2,0,3,4,6,0,2,1,88143.9,163.7,1.71172533,0.07234549,903728239.490281,190119.828314644
895,13,Bolívar,13188,Cicuco,496.5,4477.9,16.7,6864.1,344,134,5,0,1,0,32,1,32,17,11838.5,16.7,0.51696014,0.01096222,137609753.94432,57760.3675032403
